gene,importance
ENSG00000162711,0.013075334337562597
ENSG00000104783,0.010138331582633053
ENSG00000196126,0.00975338121204087
ENSG00000011422,0.009740306584286517
ENSG00000124942,0.008319327116811636
ENSG00000249790,0.008016675293305728
ENSG00000135709,0.0071257422617574465
ENSG00000141576,0.006964133917276884
ENSG00000167483,0.00683644771169281
ENSG00000025708,0.006594808244916004
ENSG00000203710,0.006546849984958681
ENSG00000163131,0.0062704459272775225
ENSG00000150337,0.00617962962962963
ENSG00000107485,0.006030159179056237
ENSG00000082074,0.005843418450158986
ENSG00000105835,0.005820203071713679
ENSG00000007312,0.005809061752733423
ENSG00000112139,0.005504301545638901
ENSG00000177455,0.005467673871259978
ENSG00000211895,0.005425433432482304
